Overall Position,Gender Position,Category Position,Category,Race No,Country ,Official Time,Net Time,10km Time,Half Way Time,30km Time
1886,1703,1886,MR1,A0701,Hong Kong SAR,4:34:47,4:31:59,1:04:39,2:09:25,3:06:58
1887,1704,1887,MR1,A0684,Hong Kong SAR,4:34:50,4:33:17,1:00:01,2:08:38,3:06:38
1888,1705,1888,MR1,A8617,China,4:34:51,4:34:01,1:02:03,2:08:59,3:05:10
1889,184,1889,MR1,A3991,China,4:34:52,4:33:39,1:05:38,2:17:15,3:12:40
1890,185,1890,MR1,A2765,China,4:34:52,4:33:40,1:05:38,2:17:17,3:12:40
1891,1706,1891,MR1,A3549,Hong Kong SAR,4:34:55,4:32:52,0:59:05,2:00:07,3:01:52
1892,1707,1892,MR1,A5990,Hong Kong SAR,4:35:02,4:32:06,1:08:31,2:18:01,3:15:56
1893,1708,1893,MR1,A0196,Hong Kong SAR,4:35:03,4:28:34,1:18:09,2:27:17,3:19:58
1894,186,1894,MR1,A0912,Hong Kong SAR,4:35:03,4:28:34,1:18:09,2:27:17,3:19:58
1895,1709,1895,MR1,A5349,Hong Kong SAR,4:35:05,4:28:57,1:14:34,2:22:34,3:16:13
1896,1710,1896,MR1,A7600,Hong Kong SAR,4:35:07,4:28:36,1:13:26,2:23:04,3:16:39
1897,187,1897,MR1,A8387,China,4:35:08,4:34:05,1:03:46,2:13:02,3:12:03
1898,1711,1898,MR1,A2427,Japan,4:35:11,4:30:48,1:07:36,2:09:43,3:05:57
1899,1712,1899,MR1,A9059,Hong Kong SAR,4:35:11,4:34:01,1:00:55,2:05:57,3:03:42
1900,1713,1900,MR1,A6248,Hong Kong SAR,4:35:12,4:29:06,1:14:07,2:21:58,3:14:56
1901,188,1901,MR1,A6795,Hong Kong SAR,4:35:13,4:32:08,1:11:20,2:18:18,3:13:15
1902,1714,1902,MR1,A8352,Hong Kong SAR,4:35:14,4:29:30,1:12:30,2:18:32,3:11:33
1903,1715,1903,MR1,A6454,Hong Kong SAR,4:35:14,4:29:31,1:12:30,2:18:34,3:11:33
1904,1716,1904,MR1,A6513,Singapore,4:35:17,4:33:29,1:03:09,2:09:41,3:06:58
1905,1717,1905,MR1,A1696,Hong Kong SAR,4:35:18,4:30:16,1:10:59,2:15:07,3:09:21
1906,1718,1906,MR1,A1683,China,4:35:19,4:33:42,1:10:39,2:22:25,3:16:07
1907,1719,1907,MR1,A5535,Hong Kong SAR,4:35:20,4:34:59,0:57:18,2:00:49,2:58:44
1908,1720,1908,MR1,A3355,Hong Kong SAR,4:35:21,4:34:20,1:05:26,2:15:21,3:14:06
1909,1721,1909,MR1,A4755,Hong Kong SAR,4:35:24,4:30:56,1:12:43,2:21:05,3:14:52
1910,1722,1910,MR1,A1271,Hong Kong SAR,4:35:27,4:31:22,1:10:32,2:16:01,3:09:35
1911,1723,1911,MR1,A3793,Hong Kong SAR,4:35:27,4:31:52,1:04:06,2:06:55,3:02:35
1912,1724,1912,MR1,A0490,Hong Kong SAR,4:35:27,4:32:26,1:02:32,2:06:48,3:05:45
1913,1725,1913,MR1,A3036,Hong Kong SAR,4:35:29,4:33:11,1:02:10,2:06:03,3:01:22
1914,1726,1914,MR1,A5467,China,4:35:30,4:35:15,0:57:54,2:06:28,3:07:11
1915,1727,1915,MR1,A7970,Hong Kong SAR,4:35:32,4:32:27,1:09:05,2:13:33,3:07:55
1916,1728,1916,MR1,A6602,Hong Kong SAR,4:35:32,4:29:19,1:10:58,2:12:57,3:05:23
1917,1729,1917,MR1,A2442,Hong Kong SAR,4:35:33,4:32:21,0:55:47,1:54:20,2:52:55
1918,1730,1918,MR1,A6334,China,4:35:35,4:35:02,0:57:37,1:57:54,2:54:35
1919,1731,1919,MR1,A6687,Hong Kong SAR,4:35:37,4:34:05,1:02:40,2:11:41,3:11:09
1920,189,1920,MR1,A6277,Hong Kong SAR,4:35:37,4:35:14,0:58:57,2:06:18,3:06:10
1921,1732,1921,MR1,A1011,Hong Kong SAR,4:35:39,4:33:39,1:04:31,2:12:35,3:11:50
1922,1733,1922,MR1,A2847,United Kingdom,4:35:40,4:31:32,1:10:54,2:21:26,3:16:29
1923,1734,1923,MR1,A5272,Hong Kong SAR,4:35:40,4:31:53,1:09:24,2:14:20,3:08:21
1924,1735,1924,MR1,A1493,Hong Kong SAR,4:35:40,4:32:19,1:02:42,2:07:24,3:07:05
1925,1736,1925,MR1,A1067,Hong Kong SAR,4:35:40,4:30:15,1:05:53,2:08:44,3:10:13
1926,1737,1926,MR1,A9015,China,4:35:42,4:32:48,1:12:10,2:20:36,3:13:59
1927,1738,1927,MR1,A2685,Hong Kong SAR,4:35:42,4:34:28,0:59:05,2:05:14,3:02:12
1928,1739,1928,MR1,A1578,Hong Kong SAR,4:35:42,4:31:22,1:11:56,2:23:02,3:19:19
1929,1740,1929,MR1,A8649,China,4:35:44,4:34:27,0:56:42,1:58:12,2:58:23
1930,190,1930,MR1,A8643,China,4:35:45,4:35:43,1:00:03,2:08:06,3:05:56
1931,1741,1931,MR1,A4172,Hong Kong SAR,4:35:46,4:34:13,0:59:49,2:03:12,3:02:14
1932,1742,1932,MR1,A2138,Hong Kong SAR,4:35:49,4:32:29,1:07:03,2:14:11,3:09:39
1933,1743,1933,MR1,A4211,Hong Kong SAR,4:35:49,4:35:47,0:57:05,2:02:38,3:02:05
1934,1744,1934,MR1,A5363,Hong Kong SAR,4:35:51,4:35:21,1:00:32,2:07:44,3:06:22
1935,1745,1935,MR1,A1841,Hong Kong SAR,4:35:52,4:35:49,0:59:45,2:07:12,3:05:38
1936,191,1936,MR1,A8590,Hong Kong SAR,4:35:52,4:34:33,1:05:45,2:14:35,3:10:27
1937,1746,1937,MR1,A3617,Hong Kong SAR,4:35:53,4:32:16,1:13:11,2:21:46,3:15:18
1938,1747,1938,MR1,A0528,China,4:35:53,4:34:01,1:11:59,2:20:33,3:15:02
1939,1748,1939,MR1,A4005,Hong Kong SAR,4:35:58,4:33:34,1:07:49,2:18:24,3:13:44
1940,1749,1940,MR1,A6329,Japan,4:35:58,4:32:48,1:09:47,2:15:15,3:08:55
1941,1750,1941,MR1,A6871,China,4:35:59,4:31:36,1:07:53,2:12:57,3:07:34
1942,1751,1942,MR1,A0598,Hong Kong SAR,4:36:00,4:35:41,1:02:56,2:09:47,3:06:01
1943,1752,1943,MR1,A7022,Hong Kong SAR,4:36:00,4:32:33,0:59:18,2:01:07,3:05:08
1944,1753,1944,MR1,A8688,China,4:36:02,4:32:23,1:12:34,2:23:21,3:20:34
1945,1754,1945,MR1,A4059,Hong Kong SAR,4:36:02,4:33:58,1:06:32,2:12:54,3:10:28
1946,1755,1946,MR1,A2101,Hong Kong SAR,4:36:02,4:35:47,0:56:22,2:01:21,2:59:10
1947,192,1947,MR1,A1528,Hong Kong SAR,4:36:02,4:30:21,1:10:34,2:19:42,3:17:22
1948,1756,1948,MR1,A1927,Hong Kong SAR,4:36:02,4:30:21,1:14:05,2:22:57,3:17:41
1949,1757,1949,MR1,A2505,Canada,4:36:03,4:33:22,1:05:18,2:13:17,3:10:00
1950,1758,1950,MR1,A5482,China,4:36:04,4:32:34,1:11:17,2:17:21,3:07:05
1951,1759,1951,MR1,A4830,Hong Kong SAR,4:36:04,4:33:17,1:08:45,2:19:01,3:15:04
1952,1760,1952,MR1,A2728,Hong Kong SAR,4:36:04,4:32:06,1:05:07,2:12:47,3:10:28
1953,1761,1953,MR1,A1061,Hong Kong SAR,4:36:07,4:36:02,0:58:18,2:04:28,3:01:22
1954,1762,1954,MR1,A5830,China,4:36:08,4:36:00,0:59:55,2:05:49,3:03:28
1955,1763,1955,MR1,A2303,Hong Kong SAR,4:36:08,4:32:44,1:08:44,2:18:46,3:13:41
1956,1764,1956,MR1,A1642,Hong Kong SAR,4:36:10,4:30:37,1:08:22,2:11:00,3:04:24
1957,1765,1957,MR1,A7088,China,4:36:10,4:30:51,1:11:10,2:15:53,3:12:04
1958,1766,1958,MR1,A5229,Hong Kong SAR,4:36:12,4:35:45,0:53:19,1:55:08,2:54:53
1959,1767,1959,MR1,A7659,China,4:36:12,4:34:33,1:07:48,2:18:22,3:14:31
1960,1768,1960,MR1,A1628,China,4:36:14,4:36:11,0:54:14,2:05:37,3:03:10
1961,1769,1961,MR1,A1088,Hong Kong SAR,4:36:14,4:32:53,1:06:42,2:14:29,3:10:55
1962,1770,1962,MR1,A8314,Japan,4:36:14,4:32:18,1:05:50,2:10:24,3:07:05
1963,1771,1963,MR1,A1812,Hong Kong SAR,4:36:14,4:31:54,1:05:19,2:09:35,3:05:48
1964,1772,1964,MR1,A1953,Hong Kong SAR,4:36:15,4:31:26,1:05:52,2:08:30,3:02:00
1965,1773,1965,MR1,A0467,Hong Kong SAR,4:36:17,4:36:07,0:54:43,1:59:57,3:01:24
1966,1774,1966,MR1,A2064,Hong Kong SAR,4:36:18,4:34:23,1:02:19,2:09:48,3:08:13
1967,193,1967,MR1,A4187,China,4:36:20,4:34:44,1:05:23,2:13:10,3:10:07
1968,194,1968,MR1,A4921,Hong Kong SAR,4:36:20,4:34:27,1:06:03,2:13:54,3:10:58
1969,1775,1969,MR1,A0828,Hong Kong SAR,4:36:20,4:33:01,1:10:38,2:18:59,3:13:53
1970,1776,1970,MR1,A0334,Singapore,4:36:22,4:36:09,0:54:23,1:59:33,3:01:26
1971,1777,1971,MR1,A5561,Hong Kong SAR,4:36:24,4:29:20,1:08:35,2:15:50,3:12:44
1972,1778,1972,MR1,A1807,Hong Kong SAR,4:36:25,4:33:37,1:04:40,2:15:14,3:13:20
1973,1779,1973,MR1,A0426,Hong Kong SAR,4:36:25,4:33:19,1:06:45,2:14:28,3:10:20
1974,1780,1974,MR1,A6605,China,4:36:25,4:35:36,1:04:38,2:14:12,3:12:08
1975,195,1975,MR1,A1125,Japan,4:36:26,4:36:09,1:07:00,2:19:55,3:18:14
1976,1781,1976,MR1,A4790,China,4:36:26,4:35:07,1:06:05,2:14:27,3:11:59
1977,1782,1977,MR1,A2350,Hong Kong SAR,4:36:27,4:34:18,1:05:11,2:13:13,3:11:07
1978,1783,1978,MR1,A8531,China,4:36:28,4:35:11,1:07:39,2:19:24,3:16:26
1979,1784,1979,MR1,A7138,Belgium,4:36:30,4:32:21,1:12:11,2:22:29,3:16:51
1980,196,1980,MR1,A3377,Hong Kong SAR,4:36:31,4:33:42,1:10:14,2:16:46,3:11:11
1981,1785,1981,MR1,A3568,Hong Kong SAR,4:36:31,4:35:48,1:02:50,2:16:37,3:19:43
1982,197,1982,MR1,A5980,Malaysia,4:36:33,4:35:01,1:05:01,2:13:27,3:11:00
1983,1786,1983,MR1,A4355,Hong Kong SAR,4:36:34,4:35:06,1:02:06,2:13:20,3:13:56
1984,1787,1984,MR1,A5204,Hong Kong SAR,4:36:36,4:34:25,1:06:30,2:13:14,3:09:25
1985,1788,1985,MR1,A4518,Thailand,4:36:37,4:36:01,1:02:53,2:10:28,3:08:32
1986,1789,1986,MR1,A7003,China,4:36:38,4:34:56,1:02:26,2:06:44,3:01:08
1987,1790,1987,MR1,A7434,Hong Kong SAR,4:36:38,4:34:27,1:05:06,2:10:48,3:07:15
1988,1791,1988,MR1,A4604,Hong Kong SAR,4:36:38,4:32:48,1:06:07,2:14:13,3:12:31
1989,1792,1989,MR1,A2279,Hong Kong SAR,4:36:39,4:32:16,1:12:21,2:21:57,3:16:50
1990,1793,1990,MR1,A0268,Hong Kong SAR,4:36:41,4:34:20,1:12:48,2:24:09,3:19:21
1991,198,1991,MR1,A9161,China,4:36:42,4:33:26,1:10:46,2:17:10,3:14:06
1992,1794,1992,MR1,A2551,Hong Kong SAR,4:36:43,4:34:43,1:03:35,2:11:54,3:09:52
1993,1795,1993,MR1,A8472,China,4:36:44,4:34:43,1:04:53,2:11:01,3:08:51
1994,1796,1994,MR1,A4690,France,4:36:45,4:32:01,1:08:38,2:15:11,3:08:53
1995,1797,1995,MR1,A1269,Hong Kong SAR,4:36:46,4:33:44,1:05:02,2:10:15,3:09:18
1996,1798,1996,MR1,A3508,Hong Kong SAR,4:36:46,4:35:21,1:00:46,2:10:07,3:07:40
1997,1799,1997,MR1,A3164,Hong Kong SAR,4:36:47,4:30:30,1:12:41,2:19:12,3:12:47
1998,1800,1998,MR1,A3081,Hong Kong SAR,4:36:47,4:33:37,1:03:57,2:09:05,3:06:51
1999,1801,1999,MR1,A7536,Hong Kong SAR,4:36:48,4:36:32,0:54:39,1:59:37,3:02:15
2000,1802,2000,MR1,A7806,Hong Kong SAR,4:36:49,4:36:02,1:08:31,2:18:39,3:13:48
2001,1803,2001,MR1,A7960,Hong Kong SAR,4:36:51,4:30:33,1:06:43,2:08:42,3:04:32
2002,199,2002,MR1,A0613,China,4:36:53,4:36:38,1:06:07,2:18:53,3:17:18
2003,1804,2003,MR1,A8628,China,4:36:54,4:33:14,1:06:32,2:12:02,3:09:14
2004,1805,2004,MR1,A3644,Hong Kong SAR,4:36:58,4:34:02,1:11:26,2:22:27,3:17:46
2005,200,2005,MR1,A1157,Hong Kong SAR,4:36:58,4:35:00,1:03:22,2:11:48,3:10:01
2006,1806,2006,MR1,A2601,Hong Kong SAR,4:37:00,4:35:26,1:00:36,2:03:10,3:04:15
2007,1807,2007,MR1,A7586,China,4:37:00,4:36:38,0:57:22,2:02:50,3:04:55
2008,1808,2008,MR1,A3817,Hong Kong SAR,4:37:00,4:36:46,0:58:06,2:04:24,3:03:59
2009,201,2009,MR1,A3354,Hong Kong SAR,4:37:01,4:32:10,1:13:54,2:22:40,3:17:55
2010,1809,2010,MR1,A0166,Canada,4:37:03,4:29:36,,2:18:15,3:13:16
2011,1810,2011,MR1,A4152,France,4:37:03,4:36:01,0:58:48,2:02:37,3:03:14
2012,1811,2012,MR1,A5782,Germany,4:37:05,4:36:51,0:59:12,2:05:41,3:05:41
2013,1812,2013,MR1,A1137,China,4:37:07,4:34:46,1:05:57,2:08:07,3:03:51
2014,1813,2014,MR1,A7062,Hong Kong SAR,4:37:08,4:32:48,1:11:30,2:22:17,3:19:58
2015,1814,2015,MR1,A1691,Hong Kong SAR,4:37:09,4:36:14,1:08:00,2:16:46,3:10:24
2016,1815,2016,MR1,A2171,Hong Kong SAR,4:37:10,4:33:05,1:07:57,2:13:46,3:09:50
2017,1816,2017,MR1,A8316,Hong Kong SAR,4:37:10,4:33:39,1:07:07,2:13:36,3:09:24
2018,1817,2018,MR1,A8839,Japan,4:37:12,4:37:01,0:59:26,2:04:32,3:02:09
2019,1818,2019,MR1,A6690,Hong Kong SAR,4:37:12,4:33:37,1:04:30,2:08:32,3:06:12
2020,1819,2020,MR1,A3532,Hong Kong SAR,4:37:15,4:33:47,1:05:52,2:13:49,3:11:31
2021,1820,2021,MR1,A5567,China,4:37:16,4:36:58,0:58:45,2:07:37,3:06:18
2022,1821,2022,MR1,A0637,Hong Kong SAR,4:37:22,4:31:48,1:09:34,2:13:38,3:09:45
2023,1822,2023,MR1,A0049,Hong Kong SAR,4:37:22,4:33:48,1:06:36,2:12:40,3:08:42
2024,1823,2024,MR1,A0113,Hong Kong SAR,4:37:24,4:33:41,1:04:12,2:09:50,3:08:52
2025,1824,2025,MR1,A5041,Hong Kong SAR,4:37:26,4:34:36,1:11:37,2:22:28,3:16:37
2026,1825,2026,MR1,A7902,Hong Kong SAR,4:37:27,4:37:15,0:57:20,2:04:10,3:07:24
2027,1826,2027,MR1,A3013,Hong Kong SAR,4:37:27,4:36:41,1:01:08,2:09:33,3:08:56
2028,1827,2028,MR1,A5084,Hong Kong SAR,4:37:28,4:31:37,1:07:44,2:13:58,3:11:30
2029,202,2029,MR1,A9164,China,4:37:28,4:37:14,1:09:25,2:21:14,3:16:40
2030,1828,2030,MR1,A3459,China,4:37:28,4:35:42,1:03:03,2:10:25,3:08:02
2031,203,2031,MR1,A2626,Hong Kong SAR,4:37:30,4:36:54,1:02:39,2:13:37,3:11:59
2032,1829,2032,MR1,A1239,India,4:37:31,4:35:17,1:03:33,2:13:15,3:12:48
2033,1830,2033,MR1,A6612,Hong Kong SAR,4:37:32,4:32:34,1:05:34,2:08:48,3:07:02
2034,1831,2034,MR1,A7432,Hong Kong SAR,4:37:34,4:31:47,1:13:01,2:21:31,3:16:08
2035,1832,2035,MR1,A6999,Hong Kong SAR,4:37:35,4:32:20,1:17:03,2:24:15,3:17:06
2036,1833,2036,MR1,A7739,Hong Kong SAR,4:37:38,4:37:06,0:57:50,2:02:15,3:01:50
2037,1834,2037,MR1,A5594,Hong Kong SAR,4:37:46,4:31:17,1:10:26,2:18:38,3:14:38
2038,1835,2038,MR1,A5395,China,4:37:50,4:37:46,1:00:50,2:08:31,3:08:46
2039,1836,2039,MR1,A4037,Hong Kong SAR,4:37:50,4:34:30,1:08:51,2:15:25,3:10:42
2040,204,2040,MR1,A6767,Taiwan,4:37:51,4:37:27,1:07:33,2:21:49,3:18:15
2041,1837,2041,MR1,A2667,Hong Kong SAR,4:37:56,4:34:18,1:08:49,2:14:53,3:11:10
2042,1838,2042,MR1,A1663,Hong Kong SAR,4:37:56,4:34:50,1:04:57,2:09:53,3:08:44
2043,1839,2043,MR1,A9052,China,4:37:58,4:32:02,1:05:25,2:09:39,3:06:27
2044,1840,2044,MR1,A8075,Hong Kong SAR,4:38:00,4:32:08,1:09:48,2:17:27,3:13:19
2045,1841,2045,MR1,A5341,Hong Kong SAR,4:38:00,4:36:57,1:06:21,2:18:12,3:15:01
2046,1842,2046,MR1,A6384,Hong Kong SAR,4:38:00,4:35:26,1:07:36,2:17:31,3:16:14
2047,1843,2047,MR1,A5152,China,4:38:02,4:36:16,1:04:09,2:13:56,3:08:50
2048,1844,2048,MR1,A0833,Hong Kong SAR,4:38:03,4:33:35,1:11:34,2:18:29,3:13:16
2049,1845,2049,MR1,A5094,Hong Kong SAR,4:38:03,4:35:44,1:05:44,2:10:05,3:07:39
2050,1846,2050,MR1,A7929,Hong Kong SAR,4:38:04,4:32:50,1:12:42,2:17:51,3:12:41
2051,205,2051,MR1,A2851,Hong Kong SAR,4:38:05,4:35:42,1:03:59,2:10:18,3:08:25
2052,1847,2052,MR1,A6339,China,4:38:09,4:35:13,1:11:18,2:23:18,3:20:03
2053,1848,2053,MR1,A6510,China,4:38:09,4:33:55,1:13:10,2:19:54,3:13:11
2054,1849,2054,MR1,A4692,China,4:38:12,4:36:03,1:14:06,2:26:09,3:19:04
2055,206,2055,MR1,A7563,Singapore,4:38:12,4:37:20,1:07:26,2:19:22,3:16:16
2056,1850,2056,MR1,A4243,China,4:38:13,4:37:55,1:00:00,2:07:47,3:06:41
2057,1851,2057,MR1,A7153,Hong Kong SAR,4:38:14,4:36:54,1:02:20,2:09:02,3:07:26
2058,1852,2058,MR1,A2563,United States,4:38:14,4:32:14,1:03:19,2:03:55,2:59:58
2059,1853,2059,MR1,A6187,Hong Kong SAR,4:38:15,4:32:13,1:11:39,2:19:29,3:15:32
2060,1854,2060,MR1,A4833,Hong Kong SAR,4:38:15,4:37:34,1:02:27,2:08:05,3:07:38
2061,1855,2061,MR1,A1677,Finland,4:38:16,4:36:52,1:06:32,2:15:26,3:12:29
2062,1856,2062,MR1,A8721,Japan,4:38:18,4:34:47,1:09:16,2:16:42,3:16:44
2063,1857,2063,MR1,A0033,Hong Kong SAR,4:38:18,4:34:06,1:08:49,2:13:42,3:07:26
2064,1858,2064,MR1,A8245,China,4:38:20,4:34:03,1:13:04,2:19:50,3:17:57
2065,1859,2065,MR1,A7585,China,4:38:22,4:33:51,1:09:22,2:18:44,3:15:30
2066,1860,2066,MR1,A1881,China,4:38:22,4:33:47,1:14:13,2:23:03,3:18:15
2067,1861,2067,MR1,A2325,China,4:38:22,4:33:47,1:14:13,2:23:03,3:18:15
2068,1862,2068,MR1,A4876,China,4:38:24,4:38:10,1:02:35,2:12:42,3:09:14
2069,1863,2069,MR1,A6412,China,4:38:25,4:38:01,0:57:39,2:04:15,3:04:38
2070,1864,2070,MR1,A6377,Hong Kong SAR,4:38:26,4:36:52,1:00:15,2:06:07,3:05:37
2071,207,2071,MR1,A2490,Japan,4:38:26,4:33:47,1:10:08,2:19:31,3:15:14
2072,1865,2072,MR1,A6764,Hong Kong SAR,4:38:27,4:33:06,1:11:19,2:17:02,3:13:36
2073,1866,2073,MR1,A0017,Hong Kong SAR,4:38:28,4:35:05,1:02:58,2:05:07,2:58:20
2074,1867,2074,MR1,A4826,Hong Kong SAR,4:38:28,4:34:42,1:00:21,2:03:18,3:00:03
2075,1868,2075,MR1,A0447,Hong Kong SAR,4:38:29,4:33:51,1:13:34,2:23:19,3:17:42
2076,208,2076,MR1,A9117,China,4:38:30,4:37:25,1:08:42,2:19:50,3:17:13
2077,1869,2077,MR1,A8371,France,4:38:30,4:35:41,1:06:06,2:13:08,3:10:02
2078,1870,2078,MR1,A5633,China,4:38:30,4:37:25,1:08:42,2:19:50,3:17:13
2079,209,2079,MR1,A9120,China,4:38:30,4:37:25,1:08:41,2:19:49,3:17:13
2080,1871,2080,MR1,A6141,Hong Kong SAR,4:38:32,4:36:20,1:07:42,2:20:05,3:16:51
2081,210,2081,MR1,A4707,Hong Kong SAR,4:38:34,4:37:07,1:03:50,2:16:07,3:15:10
2082,1872,2082,MR1,A7296,China,4:38:36,4:35:41,1:03:43,2:06:30,3:00:32
2083,211,2083,MR1,A1453,Hong Kong SAR,4:38:37,4:36:59,1:09:28,2:21:27,3:19:23
2084,212,2084,MR1,A6749,Hong Kong SAR,4:38:38,4:34:32,1:10:30,2:19:00,3:17:28
2085,1873,2085,MR1,A2512,Hong Kong SAR,4:38:39,4:35:42,1:09:57,2:18:49,3:13:25
2086,213,2086,MR1,A4279,Australia,4:38:40,4:34:58,1:08:27,2:18:53,3:15:12
2087,1874,2087,MR1,A1660,Philippines,4:38:41,4:37:48,1:00:02,2:08:01,3:07:19
2088,1875,2088,MR1,A0016,China,4:38:44,4:34:05,1:09:30,2:17:53,3:12:43
2089,1876,2089,MR1,A6711,Hong Kong SAR,4:38:47,4:33:24,1:13:03,2:20:45,3:16:03
2090,1877,2090,MR1,A7697,Philippines,4:38:52,4:38:47,0:54:20,2:02:19,2:54:58
2091,1878,2091,MR1,A8434,Hong Kong SAR,4:38:53,4:36:06,1:04:23,2:10:20,3:09:40
2092,1879,2092,MR1,A6240,China,4:38:55,4:38:28,1:01:21,2:08:20,3:07:35
2093,1880,2093,MR1,A4122,Hong Kong SAR,4:38:56,4:36:33,1:01:51,2:08:14,3:03:22
2094,1881,2094,MR1,A5742,Singapore,4:38:59,4:36:39,1:04:40,2:13:38,3:09:52
2095,1882,2095,MR1,A2502,Taiwan,4:39:02,4:38:47,0:58:59,2:06:04,
2096,1883,2096,MR1,A6318,China,4:39:02,4:36:06,1:14:04,2:26:51,3:21:59
2097,1884,2097,MR1,A4550,China,4:39:03,4:37:24,1:02:20,2:08:39,3:06:13
2098,1885,2098,MR1,A5076,China,4:39:04,4:37:30,1:07:18,2:15:36,3:11:57
2099,1886,2099,MR1,A6768,Hong Kong SAR,4:39:04,4:34:42,1:11:05,2:18:45,3:15:16
2100,1887,2100,MR1,A6538,Hong Kong SAR,4:39:07,4:37:38,1:02:09,2:08:11,3:04:50
2101,1888,2101,MR1,A5763,China,4:39:09,4:38:39,0:55:29,1:59:03,2:59:58
2102,1889,2102,MR1,A3963,China,4:39:11,4:34:54,1:10:11,2:14:26,3:09:59
2103,1890,2103,MR1,A1572,China,4:39:11,4:38:57,0:53:34,1:56:17,2:53:32
2104,214,2104,MR1,A2362,Hong Kong SAR,4:39:11,4:36:11,1:06:04,2:15:50,3:14:07
2105,1891,2105,MR1,A4900,Hong Kong SAR,4:39:13,4:39:05,0:55:39,1:59:59,2:54:50
2106,1892,2106,MR1,A4562,China,4:39:14,4:36:18,1:09:57,2:16:14,3:11:59
2107,1893,2107,MR1,A8102,Hong Kong SAR,4:39:15,4:33:27,1:13:48,2:24:00,3:20:38
2108,1894,2108,MR1,A4081,Hong Kong SAR,4:39:15,4:36:40,1:05:24,2:09:21,3:04:56
2109,215,2109,MR1,A7334,China,4:39:17,4:38:21,1:08:04,2:20:51,3:18:51
2110,1895,2110,MR1,A6242,Hong Kong SAR,4:39:17,4:37:40,1:04:02,2:14:29,3:13:47
2111,1896,2111,MR1,A4364,Hong Kong SAR,4:39:19,4:33:56,1:09:06,2:15:08,3:13:07
2112,1897,2112,MR1,A6567,Hong Kong SAR,4:39:21,4:33:22,1:08:15,2:16:13,3:14:07
2113,1898,2113,MR1,A2574,Hong Kong SAR,4:39:21,4:34:27,1:14:54,2:23:24,3:17:13
2114,1899,2114,MR1,A1226,Singapore,4:39:21,4:38:59,1:05:28,2:18:43,3:21:46
2115,216,2115,MR1,A2675,Hong Kong SAR,4:39:21,4:34:26,1:14:54,2:24:27,3:18:47
2116,217,2116,MR1,A1829,Hong Kong SAR,4:39:21,4:34:26,1:14:55,2:23:25,3:17:16
2117,1900,2117,MR1,A7378,China,4:39:22,4:33:57,1:13:34,2:21:09,3:15:20
2118,1901,2118,MR1,A2895,Hong Kong SAR,4:39:22,4:36:23,1:13:16,2:18:48,3:10:02
2119,1902,2119,MR1,A5496,Hong Kong SAR,4:39:23,4:37:50,1:07:47,2:17:11,3:14:39
2120,1903,2120,MR1,A5093,Hong Kong SAR,4:39:23,4:37:50,1:07:47,2:17:11,3:14:39
2121,1904,2121,MR1,A4171,Hong Kong SAR,4:39:24,4:38:53,1:02:32,2:11:34,3:09:48
2122,1905,2122,MR1,A5379,China,4:39:30,4:39:10,1:04:17,2:13:35,3:13:27
2123,1906,2123,MR1,A6295,Hong Kong SAR,4:39:31,4:37:53,1:06:22,2:14:27,3:10:13
2124,1907,2124,MR1,A1084,Hong Kong SAR,4:39:31,4:36:16,1:12:34,2:18:06,3:10:53
2125,218,2125,MR1,A6180,Hong Kong SAR,4:39:32,4:38:37,1:01:46,2:08:39,3:10:37
2126,219,2126,MR1,A0854,New Zealand,4:39:33,4:39:31,0:53:34,1:57:40,2:57:39
2127,1908,2127,MR1,A1512,Hong Kong SAR,4:39:34,4:34:09,1:11:22,2:20:00,3:14:48
2128,1909,2128,MR1,A6007,Hong Kong SAR,4:39:34,4:37:09,1:08:13,2:17:36,3:14:35
2129,1910,2129,MR1,A4636,Hong Kong SAR,4:39:35,4:33:45,1:16:51,2:28:23,3:23:08
2130,1911,2130,MR1,A8106,China,4:39:35,4:39:33,0:51:07,1:54:57,3:00:49
2131,1912,2131,MR1,A3384,Hong Kong SAR,4:39:35,4:32:58,1:12:27,2:19:51,3:16:05
2132,1913,2132,MR1,A4764,Hong Kong SAR,4:39:35,4:35:58,1:09:31,2:18:25,3:15:33
2133,1914,2133,MR1,A1040,Hong Kong SAR,4:39:37,4:39:14,1:00:04,2:09:03,3:10:02
2134,220,2134,MR1,A4657,China,4:39:38,4:39:01,1:05:34,2:16:57,3:13:59
2135,1915,2135,MR1,A7364,China,4:39:43,4:37:55,1:06:08,2:17:29,3:14:23
2136,1916,2136,MR1,A8659,Japan,4:39:43,4:38:47,1:09:59,2:24:21,3:20:47
2137,1917,2137,MR1,A1027,Hong Kong SAR,4:39:45,4:38:36,1:09:17,2:23:15,3:19:12
2138,1918,2138,MR1,A9169,China,4:39:47,4:33:23,1:09:14,2:12:55,3:11:18
2139,1919,2139,MR1,A6552,Hong Kong SAR,4:39:49,4:39:19,0:53:49,1:55:10,2:47:56
2140,1920,2140,MR1,A8813,Japan,4:39:53,4:34:48,1:01:44,1:58:31,2:54:28
2141,1921,2141,MR1,A6787,Hong Kong SAR,4:39:53,4:38:50,0:54:43,1:54:04,2:41:21
2142,1922,2142,MR1,A4433,China,4:39:54,4:38:57,1:05:32,2:11:54,3:10:32
2143,1923,2143,MR1,A1015,China,4:39:56,4:36:36,1:06:57,2:17:24,3:17:45
